Last name, First name	Division	Job Title	Reporting to	Work Email	Work Phone
Ocean, Danny	Banks	Banking Team Lead	Jobs, Steve	danny.ocean@fakeio.eu	+420 601 000 137
Ryan, Rusty	Banks	Banking Specialist	Ocean, Danny	rusty.ryan@fakeio.eu	+420 601 000 274
Caldwell, Linus	Banks	Banking Analyst	Ocean, Danny	linus.caldwell@fakeio.eu	+420 601 000 411
Ocean, Tess	Banks	Banking Coordinator	Ocean, Danny	tess.ocean@fakeio.eu	+420 601 000 548
Tarr, Basher	Banks	Banking Consultant	Ocean, Danny	basher.tarr@fakeio.eu	+420 601 000 685
Bloom, Saul	Banks	Banking Associate	Ocean, Danny	saul.bloom@fakeio.eu	+420 601 000 822
Holmes, Sherlock	Business Inteligence	BI Team Lead	Jobs, Steve	sherlock.holmes@fakeio.eu	+420 601 000 959
Watson, John	Business Inteligence	BI Specialist	Holmes, Sherlock	john.watson@fakeio.eu	+420 601 001 096
Adler, Irene	Business Inteligence	BI Analyst	Holmes, Sherlock	irene.adler@fakeio.eu	+420 601 001 233
Hooper, Molly	Business Inteligence	BI Coordinator	Holmes, Sherlock	molly.hooper@fakeio.eu	+420 601 001 370
Lestrade, Greg	Business Inteligence	BI Consultant	Holmes, Sherlock	greg.lestrade@fakeio.eu	+420 601 001 507
Holmes, Mycroft	Business Inteligence	BI Associate	Holmes, Sherlock	mycroft.holmes@fakeio.eu	+420 601 001 644
Hudson, Hudson	Business Inteligence	BI Strategist	Holmes, Sherlock	hudson.hudson@fakeio.eu	+420 601 001 781
Draper, Don	Campaigns	Campaign Team Lead	Jobs, Steve	don.draper@fakeio.eu	+420 601 001 918
Olson, Peggy	Campaigns	Campaign Specialist	Draper, Don	peggy.olson@fakeio.eu	+420 601 002 055
Holloway, Joan	Campaigns	Campaign Analyst	Draper, Don	joan.holloway@fakeio.eu	+420 601 002 192
Sterling, Roger	Campaigns	Campaign Coordinator	Draper, Don	roger.sterling@fakeio.eu	+420 601 002 329
Campbell, Pete	Campaigns	Campaign Consultant	Draper, Don	pete.campbell@fakeio.eu	+420 601 002 466
Draper, Betty	Campaigns	Campaign Associate	Draper, Don	betty.draper@fakeio.eu	+420 601 002 603
Romano, Sal	Campaigns	Campaign Strategist	Draper, Don	sal.romano@fakeio.eu	+420 601 002 740
Anderson, Neo	Data - infra	Infrastructure Team Lead	Jobs, Steve	neo.anderson@fakeio.eu	+420 601 002 877
Matrix, Trinity	Data - infra	Infrastructure Specialist	Anderson, Neo	trinity.matrix@fakeio.eu	+420 601 003 014
Zion, Morpheus	Data - infra	Infrastructure Analyst	Anderson, Neo	morpheus.zion@fakeio.eu	+420 601 003 151
Smith, Oracle	Data - infra	Infrastructure Coordinator	Anderson, Neo	oracle.smith@fakeio.eu	+420 601 003 288
Reagan, Cypher	Data - infra	Infrastructure Consultant	Anderson, Neo	cypher.reagan@fakeio.eu	+420 601 003 425
